Date,Value
1951-05-06,-1.79439
1951-05-07,-1.56268
1951-05-08,-1.43382
1951-05-09,-1.22881
1951-05-10,-0.814108
1951-05-11,-0.540748
1951-05-12,-0.215572
1951-05-13,-0.0162982
1951-05-14,0.266603
1951-05-15,0.298411
1951-05-16,0.422257
1951-05-17,0.407771
1951-05-18,0.69136
1951-05-19,0.696476
1951-05-20,0.597952
1951-05-21,1.30642
1951-05-22,1.54661
1951-05-23,1.70852
1951-05-24,1.76838
1951-05-25,1.1582
1951-05-26,0.405586
1951-05-27,0.0772285
1951-05-28,-0.102627
1951-05-29,-0.588213
1951-05-30,-1.06273
1951-05-31,-1.06489
1951-06-01,-0.692198
1951-06-02,-0.692776
1951-06-03,-1.15725
1951-06-04,-1.47298
1951-06-05,-1.54067
1951-06-06,-1.30719
1951-06-07,-0.782285
1951-06-08,-0.31476
1951-06-09,0.293548
1951-06-10,0.876616
1951-06-11,1.22033
1951-06-12,1.37789
1951-06-13,1.48599
1951-06-14,1.2805
1951-06-15,0.573158
1951-06-16,0.381836
1951-06-17,0.427064
1951-06-18,0.127788
1951-06-19,-0.391141
1951-06-20,-0.821359
1951-06-21,-0.963143
1951-06-22,-1.06732
1951-06-23,-1.01491
1951-06-24,-0.658015
1951-06-25,-0.623737
1951-06-26,-0.732162
1951-06-27,-0.578386
1951-06-28,-0.958088
1951-06-29,-1.07129
1951-06-30,-1.08354
1951-07-01,-0.839434
1951-07-02,-0.31502
1951-07-03,-0.254048
1951-07-04,-0.40745
1951-07-05,-0.702727
1951-07-06,-1.00054
1951-07-07,-1.14556
1951-07-08,-1.44614
1951-07-09,-1.6599
1951-07-10,-1.62862
1951-07-11,-1.41532
1951-07-12,-0.945868
1951-07-13,-0.50856
1951-07-14,-0.218596
1951-07-15,-0.471418
1951-07-16,-0.912515
1951-07-17,-0.798745
1951-07-18,-0.398629
1951-07-19,-0.0469951
1951-07-20,0.261433
1951-07-21,0.316944
1951-07-22,0.409256
1951-07-23,0.281428
1951-07-24,0.0420338
1951-07-25,-0.200017
1951-07-26,-0.299447
1951-07-27,-0.0826533
1951-07-28,0.186296
1951-07-29,0.169298
1951-07-30,0.0876955
1951-07-31,0.183707
1951-08-01,0.278697
1951-08-02,0.284623
1951-08-03,0.385829
1951-08-04,0.351478
1951-08-05,0.0980402
1951-08-06,-0.224607
1951-08-07,-0.214256
1951-08-08,-0.263066
1951-08-09,-0.371814
1951-08-10,-0.543506
1951-08-11,-0.513094
1951-08-12,-0.231868
1951-08-13,0.140277
1951-08-14,0.500565
1951-08-15,0.444824
1951-08-16,0.397248
1951-08-17,0.265798
1951-08-18,-0.00829742
1951-08-19,-0.18353
1951-08-20,-0.0855227
1951-08-21,-0.120403
1951-08-22,-0.296407
1951-08-23,-0.35202
1951-08-24,-0.453715
1951-08-25,-0.615258
1951-08-26,-0.886781
1951-08-27,-1.42314
1951-08-28,-1.82533
1951-08-29,-1.39444
1951-08-30,-1.12435
1951-08-31,-1.29983
1951-09-01,-1.36257
1951-09-02,-1.06539
1951-09-03,-0.620429
1951-09-04,-0.378499
1951-09-05,0.0509751
1951-09-06,0.315659
1951-09-07,0.77881
1951-09-08,0.905283
1951-09-09,0.811717
1951-09-10,0.606113
1951-09-11,0.623037
1951-09-12,0.580622
1951-09-13,-0.065008
1951-09-14,-0.546001
1951-09-15,-0.792034
1951-09-16,-0.803679
1951-09-17,-0.252454
1951-09-18,-0.373658
1951-09-19,-1.39035
1951-09-20,-2.16723
1951-09-21,-2.64861
1951-09-22,-2.5312
1951-09-23,-1.55302
1951-09-24,-1.16356
1951-09-25,-0.724565
1951-09-26,-0.114734
1951-09-27,0.337806
1951-09-28,0.852205
1951-09-29,1.23077
1951-09-30,1.33887
1951-10-01,1.14571
1951-10-02,1.08885
1951-10-03,1.16493
1951-10-04,0.6973
1951-10-05,0.631882
1951-10-06,0.699017
1951-10-07,0.151827
1951-10-08,-0.0076386
1951-10-09,0.250277
1951-10-10,0.273856
1951-10-11,0.714205
1951-10-12,1.01251
1951-10-13,0.613018
1951-10-14,-0.176033
1951-10-15,-0.583024
1951-10-16,-1.06395
1951-10-17,-0.995084
1951-10-18,-0.708272
1951-10-19,-0.0766964
1951-10-20,-0.308061
1951-10-21,-0.247505
1951-10-22,0.0155146
1951-10-23,-0.0336387
1951-10-24,-0.472908
1951-10-25,-0.383279
1951-10-26,-0.246381
1951-10-27,-0.31261
1951-10-28,-0.515401
1951-10-29,-1.16294
1951-10-30,-1.41327
1951-10-31,-1.52125
1951-11-01,-1.11168
1951-11-02,-0.0906184
1951-11-03,0.0881874
1951-11-04,-0.471531
1951-11-05,-1.10801
1951-11-06,-0.0748007
1951-11-07,0.327396
1951-11-08,0.485915
1951-11-09,0.466848
1951-11-10,0.480832
1951-11-11,0.967878
1951-11-12,0.999241
1951-11-13,0.657359
1951-11-14,0.302783
1951-11-15,-0.271734
1951-11-16,-0.5817
1951-11-17,-0.271392
1951-11-18,-0.171532
1951-11-19,-0.74215
1951-11-20,-1.49586
1951-11-21,-1.8319
1951-11-22,-1.65686
1951-11-23,-0.972838
1951-11-24,-0.101564
1951-11-25,0.476839
1951-11-26,1.12668
1951-11-27,1.04909
1951-11-28,0.801011
1951-11-29,0.859032
1951-11-30,1.30712
1951-12-01,2.26151
1951-12-02,2.55547
1951-12-03,2.26501
1951-12-04,2.32422
1951-12-05,2.27388
1951-12-06,1.70564
1951-12-07,0.869216
1951-12-08,0.373284
1951-12-09,-0.245695
1951-12-10,-1.0831
1951-12-11,-1.44932
1951-12-12,-2.1779
1951-12-13,-2.1788
1951-12-14,-1.31549
1951-12-15,-0.908967
1951-12-16,-0.690884
1951-12-17,-0.0240869
1951-12-18,0.746314
1951-12-19,0.826162
1951-12-20,0.949266
1951-12-21,0.821218
1951-12-22,0.853751
1951-12-23,0.647498
1951-12-24,0.695102
1951-12-25,0.278919
1951-12-26,-1.55946
1951-12-27,-2.55337
1951-12-28,-0.910396
1951-12-29,-0.707091
1951-12-30,-0.559032
1951-12-31,-0.458894
1952-01-01,-0.218129
1952-01-02,0.291645
1952-01-03,0.552137
1952-01-04,1.38077
1952-01-05,0.829232
1952-01-06,1.00883
1952-01-07,1.13249
1952-01-08,1.56949
1952-01-09,1.47085
1952-01-10,1.15547
1952-01-11,-0.0148286
1952-01-12,0.0423377
1952-01-13,0.959923
1952-01-14,-0.083735
1952-01-15,-1.08529
1952-01-16,-1.00559
1952-01-17,0.661672
1952-01-18,1.43217
1952-01-19,1.92117
1952-01-20,1.22846
1952-01-21,0.388288
1952-01-22,-0.505243
1952-01-23,-0.465926
1952-01-24,-0.259825
1952-01-25,-0.340429
1952-01-26,-0.161239
1952-01-27,-0.424305
1952-01-28,-0.0117269
1952-01-29,0.27622
1952-01-30,0.810079
1952-01-31,1.43196
1952-02-01,1.58455
1952-02-02,1.91931
1952-02-03,1.78937
1952-02-04,1.77228
1952-02-05,1.43224
1952-02-06,1.59998
1952-02-07,1.42307
1952-02-08,1.5879
1952-02-09,1.98732
1952-02-10,1.4781
1952-02-11,1.37856
1952-02-12,1.57868
1952-02-13,1.44957
1952-02-14,0.951629
1952-02-15,0.375936
1952-02-16,-0.39832
1952-02-17,-0.838508
1952-02-18,-0.61788
1952-02-19,-0.642059
1952-02-20,-0.231197
1952-02-21,0.236376
1952-02-22,0.69998
1952-02-23,0.800536
1952-02-24,0.977598
1952-02-25,0.823136
1952-02-26,0.0661193
1952-02-27,-0.828344
1952-02-28,-0.635342
1952-02-29,-0.635342
1952-03-01,-0.993083
1952-03-02,-0.328416
1952-03-03,0.708808
1952-03-04,1.35975
1952-03-05,1.17191
1952-03-06,0.465391
1952-03-07,-0.19216
1952-03-08,-0.29712
1952-03-09,0.201792
1952-03-10,0.204529
1952-03-11,0.626443
1952-03-12,0.889847
1952-03-13,0.980035
1952-03-14,-0.203032
1952-03-15,-0.308157
1952-03-16,0.547917
1952-03-17,1.62547
1952-03-18,1.87922
1952-03-19,1.18232
1952-03-20,0.684129
1952-03-21,0.0195731
1952-03-22,0.327822
1952-03-23,0.865668
1952-03-24,0.455638
1952-03-25,0.12917
1952-03-26,0.163988
1952-03-27,0.893029
1952-03-28,1.55587
1952-03-29,1.60727
1952-03-30,1.45696
1952-03-31,1.36645
1952-04-01,0.974046
1952-04-02,0.757033
1952-04-03,0.620115
1952-04-04,0.134518
1952-04-05,-0.266605
1952-04-06,-0.523157
1952-04-07,-0.541493
1952-04-08,-0.570161
1952-04-09,-0.525776
1952-04-10,0.0743466
1952-04-11,0.247948
1952-04-12,-0.123855
1952-04-13,0.0980458
1952-04-14,0.879746
1952-04-15,1.49584
1952-04-16,1.74745
1952-04-17,1.32719
1952-04-18,1.19127
1952-04-19,0.984575
1952-04-20,0.424045
1952-04-21,0.699284
1952-04-22,1.24065
1952-04-23,0.928521
1952-04-24,0.956861
1952-04-25,1.53083
1952-04-26,2.15736
1952-04-27,1.98661
1952-04-28,1.7533
1952-04-29,1.47995
1952-04-30,1.06406
1952-05-01,0.825061
1952-05-02,0.369597
1952-05-03,-0.283829
1952-05-04,-0.427343
1952-05-05,-0.0667597
1952-05-06,0.495899
1952-05-07,0.605549
1952-05-08,0.0932088
1952-05-09,-0.817719
1952-05-10,-1.1529
1952-05-11,-0.361816
1952-05-12,0.198185
1952-05-13,-0.0431311
1952-05-14,-0.616569
1952-05-15,-1.33906
1952-05-16,-1.68073
1952-05-17,-1.33889
1952-05-18,-0.500466
1952-05-19,0.430274
1952-05-20,0.896023
1952-05-21,0.79775
1952-05-22,0.811739
1952-05-23,0.51181
1952-05-24,0.44111
1952-05-25,0.203049
1952-05-26,-0.27958
1952-05-27,-0.188667
1952-05-28,0.565915
1952-05-29,1.02319
1952-05-30,0.531092
1952-05-31,0.746984
1952-06-01,1.09072
1952-06-02,1.37395
1952-06-03,1.43322
1952-06-04,1.67973
1952-06-05,1.25343
1952-06-06,0.614772
1952-06-07,0.301394
1952-06-08,0.280481
1952-06-09,-0.167359
1952-06-10,-0.706117
1952-06-11,-0.916124
1952-06-12,-0.744851
1952-06-13,-0.419977
1952-06-14,0.0169386
1952-06-15,0.214088
1952-06-16,-0.0159272
1952-06-17,-0.309096
1952-06-18,-0.38025
1952-06-19,-0.0927968
1952-06-20,0.195603
1952-06-21,0.497404
1952-06-22,0.425424
1952-06-23,0.404968
1952-06-24,0.313091
1952-06-25,0.135701
1952-06-26,0.233551
1952-06-27,-0.0460834
1952-06-28,-0.0281241
1952-06-29,0.165526
1952-06-30,0.520174
1952-07-01,0.938633
1952-07-02,0.954226
1952-07-03,0.854218
1952-07-04,1.00486
1952-07-05,0.875208
1952-07-06,0.646238
1952-07-07,0.579527
1952-07-08,0.239654
1952-07-09,-0.447617
1952-07-10,-0.94788
1952-07-11,-1.07077
1952-07-12,-1.05674
1952-07-13,-0.708284
1952-07-14,-0.198723
1952-07-15,-0.0439295
1952-07-16,0.0544053
1952-07-17,-0.0669227
1952-07-18,-0.081041
1952-07-19,0.0804824
1952-07-20,-0.285434
1952-07-21,-0.74082
1952-07-22,-1.18355
1952-07-23,-0.904869
1952-07-24,-0.479753
1952-07-25,-0.700791
1952-07-26,-0.860879
1952-07-27,-0.971117
1952-07-28,-0.696229
1952-07-29,-0.366237
1952-07-30,-0.200252
1952-07-31,-0.0723368
1952-08-01,-0.157503
1952-08-02,-0.552097
1952-08-03,-0.706118
1952-08-04,-0.737492
1952-08-05,-0.514539
1952-08-06,-0.513558
1952-08-07,-0.728147
1952-08-08,-0.926589
1952-08-09,-0.955178
1952-08-10,-1.03347
1952-08-11,-1.14403
1952-08-12,-1.03626
1952-08-13,-0.591137
1952-08-14,-0.259876
1952-08-15,0.459117
1952-08-16,0.988031
1952-08-17,0.998181
1952-08-18,0.904328
1952-08-19,0.883967
1952-08-20,0.848099
1952-08-21,0.721967
1952-08-22,0.787034
1952-08-23,0.997401
1952-08-24,0.637722
1952-08-25,0.393963
1952-08-26,0.0105472
1952-08-27,-0.267909
1952-08-28,-0.391398
1952-08-29,-0.674559
1952-08-30,-0.686519
1952-08-31,-0.878635
1952-09-01,-0.653325
1952-09-02,-0.424601
1952-09-03,-0.215638
1952-09-04,0.47561
1952-09-05,0.84788
1952-09-06,1.1739
1952-09-07,0.920869
1952-09-08,0.0967733
1952-09-09,-0.0697869
1952-09-10,0.22625
1952-09-11,0.447491
1952-09-12,0.479926
1952-09-13,0.417202
1952-09-14,0.487041
1952-09-15,0.540933
1952-09-16,0.455919
1952-09-17,0.368702
1952-09-18,-0.265799
1952-09-19,-0.850527
1952-09-20,-1.31821
1952-09-21,-1.19982
1952-09-22,-0.755941
1952-09-23,-1.21861
1952-09-24,-0.971541
1952-09-25,-0.441961
1952-09-26,0.139642
1952-09-27,0.518847
1952-09-28,0.866515
1952-09-29,1.211
1952-09-30,0.682855
1952-10-01,-0.0579262
1952-10-02,-0.00430823
1952-10-03,-0.80401
1952-10-04,-0.953051
1952-10-05,-0.595456
1952-10-06,-0.515202
1952-10-07,-0.805446
1952-10-08,-0.614008
1952-10-09,-0.353608
1952-10-10,-0.148954
1952-10-11,-0.0551693
1952-10-12,-0.595849
1952-10-13,-1.52628
1952-10-14,-1.48685
1952-10-15,-0.491925
1952-10-16,0.00678007
1952-10-17,-0.279188
1952-10-18,-0.564868
1952-10-19,-0.016752
1952-10-20,0.545011
1952-10-21,0.474346
1952-10-22,-0.115247
1952-10-23,-0.401421
1952-10-24,-0.959355
1952-10-25,-1.80813
1952-10-26,-1.88412
1952-10-27,-1.6034
1952-10-28,-0.692393
1952-10-29,0.352121
1952-10-30,0.702119
1952-10-31,0.852293
1952-11-01,0.899223
1952-11-02,0.702254
1952-11-03,0.584673
1952-11-04,0.0529098
1952-11-05,-0.91596
1952-11-06,-0.940464
1952-11-07,-1.35976
1952-11-08,-0.840416
1952-11-09,0.068183
1952-11-10,0.590171
1952-11-11,1.0099
1952-11-12,1.09635
1952-11-13,1.18359
1952-11-14,0.76711
1952-11-15,0.37069
1952-11-16,0.806533
1952-11-17,0.423763
1952-11-18,0.119989
1952-11-19,0.446307
1952-11-20,-0.44257
1952-11-21,-1.17631
1952-11-22,-2.18433
1952-11-23,-2.72407
1952-11-24,-2.32885
1952-11-25,-2.3057
1952-11-26,-2.34611
1952-11-27,-1.64867
1952-11-28,-0.916585
1952-11-29,-0.2452
1952-11-30,0.702926
1952-12-01,1.20705
1952-12-02,2.09429
1952-12-03,2.08596
1952-12-04,1.0131
1952-12-05,1.01226
1952-12-06,1.85045
1952-12-07,2.04554
1952-12-08,1.65971
1952-12-09,1.00152
1952-12-10,0.967465
1952-12-11,0.514535
1952-12-12,0.224556
1952-12-13,0.862033
1952-12-14,0.770263
1952-12-15,0.174167
1952-12-16,-0.433751
1952-12-17,-0.633604
1952-12-18,-0.19231
1952-12-19,-0.327346
1952-12-20,0.369049
1952-12-21,0.965524
1952-12-22,0.577288
1952-12-23,0.62776
1952-12-24,0.713461
1952-12-25,0.651874
1952-12-26,0.620389
1952-12-27,0.695165
1952-12-28,1.56221
1952-12-29,1.95747
1952-12-30,1.64218
1952-12-31,1.49436
1953-01-01,0.927944
1953-01-02,0.119775
1953-01-03,-0.00269291
1953-01-04,-1.13588
1953-01-05,-1.75137
1953-01-06,-1.59185
1953-01-07,-1.00896
1953-01-08,-0.0571412
1953-01-09,1.03628
1953-01-10,0.472022
